1	88
1	123
1	141
1	158
1	163
1	165
1	173
1	193
1	196
1	200
2	34
2	52
2	60
2	121
2	144
2	167
2	174
2	180
2	184
2	187
2	188
2	191
2	192
3	110
3	129
3	137
3	157
3	175
3	182
3	189
3	190
3	197
3	198
4	12
4	14
4	17
4	138
4	147
4	148
4	186
4	194
4	199
5	51
5	82
5	91
5	107
5	132
5	138
5	186
5	194
5	199
6	18
6	93
6	122
6	165
6	173
6	177
6	185
6	195
6	196
6	200
7	1
7	37
7	93
7	94
7	125
7	141
7	176
7	185
7	193
7	200
8	74
8	153
8	160
8	175
8	179
8	181
8	182
8	190
8	197
8	198
9	32
9	45
9	67
9	128
9	145
9	166
9	170
9	178
10	16
10	41
10	57
10	148
10	149
10	151
10	186
10	192
10	199
11	22
11	38
11	39
11	62
11	95
11	123
11	154
11	165
11	195
11	200
12	57
12	77
12	91
12	92
12	106
12	147
12	164
12	194
12	199
13	18
13	22
13	30
13	95
13	102
13	163
13	195
13	196
13	200
14	33
14	51
14	56
14	81
14	92
14	148
14	186
14	194
14	199
15	48
15	106
15	138
15	164
15	167
15	171
15	186
15	199
16	14
16	77
16	82
16	97
16	132
16	138
16	186
16	194
16	199
17	4
17	97
17	105
17	124
17	164
17	186
17	194
17	199
18	1
18	30
18	58
18	65
18	72
18	163
18	176
18	177
18	196
19	54
19	100
19	120
19	136
19	150
19	155
19	171
19	172
19	178
20	29
20	55
20	83
20	108
20	109
20	110
20	153
20	181
20	197
20	198
21	15
21	56
21	73
21	86
21	164
21	186
21	194
21	195
21	199
22	64
22	80
22	125
22	141
22	154
22	163
22	176
22	185
22	193
22	195
23	10
23	48
23	89
23	98
23	130
23	138
23	193
23	194
23	199
24	29
24	66
24	104
24	129
24	157
24	179
24	182
24	189
24	190
24	197
24	198
25	36
25	47
25	158
25	161
25	177
25	185
25	193
25	195
25	196
25	200
26	55
26	103
26	109
26	110
26	137
26	151
26	175
26	179
26	181
26	182
26	189
26	190
26	197
26	198
27	68
27	73
27	106
27	130
27	147
27	149
27	186
27	194
27	199
28	34
28	52
28	63
28	144
28	146
28	162
28	180
28	184
28	187
28	188
28	191
28	192
29	66
29	84
29	118
29	129
29	137
29	153
29	157
29	179
29	182
29	189
29	190
29	197
29	198
30	37
30	59
30	102
30	141
30	163
30	185
30	195
30	196
30	200
31	54
31	126
31	145
31	166
31	168
31	170
31	172
31	183
32	50
32	69
32	85
32	133
32	134
32	150
32	166
32	172
32	183
33	23
33	70
33	78
33	141
33	148
33	183
33	194
33	198
33	199
34	52
34	71
34	112
34	121
34	127
34	139
34	142
34	144
34	180
34	184
34	187
34	188
34	191
34	192
35	7
35	11
35	13
35	102
35	111
35	161
35	193
35	195
35	196
35	200
36	22
36	93
36	154
36	173
36	177
36	185
36	193
36	195
36	196
36	200
37	36
37	88
37	123
37	154
37	176
37	177
37	185
37	193
37	195
37	200
38	7
38	11
38	64
38	96
38	141
38	173
38	185
38	196
38	200
39	25
39	36
39	65
39	111
39	154
39	176
39	185
39	193
39	195
39	200
40	71
40	78
40	90
40	99
40	115
40	127
40	159
40	162
40	187
40	188
40	191
40	192
41	27
41	57
41	73
41	138
41	148
41	149
41	194
41	199
42	31
42	50
42	136
42	145
42	152
42	168
42	178
42	183
43	8
43	87
43	104
43	116
43	151
43	156
43	181
43	189
43	190
43	198
44	2
44	28
44	101
44	146
44	174
44	180
44	184
44	187
44	188
44	191
44	192
45	19
45	85
45	134
45	140
45	145
45	155
45	166
45	170
45	178
45	183
46	3
46	43
46	87
46	157
46	175
46	179
46	189
46	190
46	197
46	198
47	65
47	80
47	94
47	154
47	161
47	165
47	169
47	193
47	196
47	200
48	61
48	68
48	89
48	92
48	130
48	149
48	186
48	194
48	199
49	19
49	120
49	150
49	155
49	168
49	170
49	171
49	178
49	183
50	53
50	134
50	171
50	172
50	178
50	183
50	191
51	4
51	5
51	89
51	130
51	132
51	149
51	194
51	199
52	2
52	78
52	99
52	114
52	127
52	159
52	167
52	174
52	180
52	184
52	191
52	192
53	67
53	85
53	100
53	126
53	150
53	152
53	155
53	166
53	172
53	183
54	31
54	42
54	69
54	100
54	140
54	152
54	166
54	168
54	171
54	183
55	98
55	109
55	118
55	156
55	175
55	181
55	189
55	190
55	197
55	198
56	107
56	124
56	148
56	149
56	164
56	186
56	194
56	199
57	23
57	27
57	68
57	106
57	107
57	130
57	186
57	194
57	199
58	75
58	96
58	111
58	154
58	161
58	193
58	195
58	196
58	200
59	76
59	95
59	165
59	169
59	173
59	176
59	185
59	193
59	196
59	200
60	2
60	71
60	121
60	146
60	162
60	167
60	180
60	187
60	188
60	191
60	192
61	10
